1.0242118835449219,16.5,21.4
2.0241613388061523,1.0,21.4
3.02419114112854,5.5,21.4
4.024194002151489,3.5,21.4
29.001,2.0,34.9,2.54,0.0,34.9,0.0,1.0,1.0,2,2200.2,0.15,0.16,0.01,0.0,-1,0,0
29.501,2.0,34.9,2.54,-0.048,34.9,0.0,2.0,0.0,2,2200.2,0.15,0.16,0.01,0.0,-1,0,0
30.001,1.0,34.9,2.44,0.0,34.9,0.0,1.0,0.0,2,2200.2,0.15,1.39,0.01,0.0,-1,0,0
30.501,2.0,34.9,2.49,0.0,34.9,0.0,1.0,1.0,2,2200.2,0.15,1.52,0.01,0.0,-1,0,0
31.001,1.0,34.9,2.44,-0.048,34.9,0.0,1.0,1.0,2,2200.2,0.15,1.52,0.01,0.0,-1,0,0
31.501,3.0,34.9,2.49,0.095,34.9,0.0,2.0,0.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
32.001,1.0,34.9,2.49,-0.095,34.9,0.0,1.0,0.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
32.501,1.0,34.9,2.4,-0.048,34.9,0.0,1.0,0.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
33.001,1.0,34.9,2.35,0.0,34.9,0.0,2.0,0.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
33.501,2.0,34.9,2.4,0.048,34.9,0.0,0.0,1.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
34.001,1.0,34.9,2.4,-0.048,34.9,0.0,1.0,0.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
34.501,1.0,34.9,2.35,0.0,34.9,0.0,1.0,0.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
35.001,3.0,34.9,2.44,-0.586,34.9,0.0,2.0,1.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
35.501,0.0,34.9,1.71,-0.19,34.9,0.0,0.0,0.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
36.001,2.0,34.9,1.62,0.0,34.9,0.0,2.0,0.0,2,2200.2,0.15,1.8,0.01,0.0,-1,0,0
